# energy_eV    eps2_arb    eps2_normalised
2.143036e+00 7.734772e+00 5.363854e-02
2.144287e+00 7.918310e+00 5.491132e-02
2.145538e+00 8.152781e+00 5.653732e-02
2.146789e+00 8.442864e+00 5.854896e-02
2.148040e+00 8.794298e+00 6.098606e-02
2.149291e+00 9.213512e+00 6.389320e-02
2.150542e+00 9.707171e+00 6.731659e-02
2.151793e+00 1.028158e+01 7.129997e-02
2.153044e+00 1.094180e+01 7.587837e-02
2.154295e+00 1.169023e+01 8.106854e-02
2.155546e+00 1.252461e+01 8.685475e-02
2.156797e+00 1.343518e+01 9.316931e-02
2.158048e+00 1.440129e+01 9.986900e-02
2.159299e+00 1.538805e+01 1.067120e-01
2.160550e+00 1.634451e+01 1.133448e-01
2.161802e+00 1.720534e+01 1.193144e-01
2.163053e+00 1.789813e+01 1.241187e-01
2.164304e+00 1.835657e+01 1.272978e-01
2.165555e+00 1.853643e+01 1.285451e-01
2.166806e+00 1.842813e+01 1.277941e-01
2.168057e+00 1.805985e+01 1.252402e-01
2.169308e+00 1.748958e+01 1.212855e-01
2.170559e+00 1.679019e+01 1.164354e-01
2.171810e+00 1.603430e+01 1.111935e-01
2.173061e+00 1.528369e+01 1.059882e-01
2.174312e+00 1.458486e+01 1.011420e-01
2.175563e+00 1.396924e+01 9.687290e-02
2.176814e+00 1.345598e+01 9.331354e-02
2.178065e+00 1.305544e+01 9.053595e-02
2.179316e+00 1.277253e+01 8.857402e-02
2.180567e+00 1.260921e+01 8.744145e-02
2.181818e+00 1.256640e+01 8.714458e-02
2.183069e+00 1.264517e+01 8.769079e-02
2.184320e+00 1.284745e+01 8.909354e-02
2.185571e+00 1.317635e+01 9.137441e-02
2.186822e+00 1.363612e+01 9.456277e-02
2.188073e+00 1.423163e+01 9.869249e-02
2.189324e+00 1.496745e+01 1.037952e-01
2.190575e+00 1.584616e+01 1.098888e-01
2.191827e+00 1.686579e+01 1.169597e-01
2.193078e+00 1.801614e+01 1.249371e-01
2.194329e+00 1.927410e+01 1.336606e-01
2.195580e+00 2.059830e+01 1.428436e-01
2.196831e+00 2.192485e+01 1.520429e-01
2.198082e+00 2.316650e+01 1.606534e-01
2.199333e+00 2.421860e+01 1.679494e-01
2.200584e+00 2.497413e+01 1.731888e-01
2.201835e+00 2.534601e+01 1.757677e-01
2.203086e+00 2.528977e+01 1.753777e-01
2.204337e+00 2.481659e+01 1.720963e-01
2.205588e+00 2.398996e+01 1.663638e-01
2.206839e+00 2.290777e+01 1.588592e-01
2.208090e+00 2.167838e+01 1.503337e-01
2.209341e+00 2.040007e+01 1.414689e-01
2.210592e+00 1.914901e+01 1.327932e-01
2.211843e+00 1.797556e+01 1.246556e-01
2.213094e+00 1.690605e+01 1.172389e-01
2.214345e+00 1.594734e+01 1.105905e-01
2.215596e+00 1.509198e+01 1.046588e-01
2.216847e+00 1.432365e+01 9.933063e-02
2.218098e+00 1.362252e+01 9.446845e-02
2.219349e+00 1.297026e+01 8.994524e-02
2.220601e+00 1.235400e+01 8.567161e-02
2.221852e+00 1.176806e+01 8.160833e-02
